geo,geo.type,geo.description,download.date,date,mdri,mdri.seas.adj
US-AL,State,AL,2019-12-15,2004-02-01,25,22.5137329614507
US-AL,State,AL,2019-12-15,2004-03-01,29,22.0473431685407
US-AL,State,AL,2019-12-15,2004-04-01,21,20.1486965271828
US-AL,State,AL,2019-12-15,2004-05-01,28,23.1232490273515
US-AL,State,AL,2019-12-15,2004-06-01,16,13.4873145542283
US-AL,State,AL,2019-12-15,2004-07-01,50,43.8232391837693
US-AL,State,AL,2019-12-15,2004-08-01,36,32.6741653421191
US-AL,State,AL,2019-12-15,2004-09-01,32,34.0285919360137
US-AL,State,AL,2019-12-15,2004-10-01,27,31.3730488797134
US-AL,State,AL,2019-12-15,2004-11-01,28,38.8498293650365
US-AL,State,AL,2019-12-15,2004-12-01,11,21.7967043364645
US-AL,State,AL,2019-12-15,2005-01-01,29,27.9676272337327
US-AL,State,AL,2019-12-15,2005-02-01,42,39.6321496791797
US-AL,State,AL,2019-12-15,2005-03-01,42,35.121091354758
US-AL,State,AL,2019-12-15,2005-04-01,35,34.1576544394451
US-AL,State,AL,2019-12-15,2005-05-01,44,39.2985331527656
US-AL,State,AL,2019-12-15,2005-06-01,41,38.3174892550132
US-AL,State,AL,2019-12-15,2005-07-01,38,32.0677593167101
US-AL,State,AL,2019-12-15,2005-08-01,50,46.6546551222508
US-AL,State,AL,2019-12-15,2005-09-01,23,24.8864689134609
US-AL,State,AL,2019-12-15,2005-10-01,32,36.2498791023876
US-AL,State,AL,2019-12-15,2005-11-01,15,25.9249231801478
US-AL,State,AL,2019-12-15,2005-12-01,34,44.4256111986421
US-AL,State,AL,2019-12-15,2006-01-01,34,32.7397545800424
US-AL,State,AL,2019-12-15,2006-02-01,27,24.8427918578456
US-AL,State,AL,2019-12-15,2006-03-01,39,32.232049197053
US-AL,State,AL,2019-12-15,2006-04-01,34,33.1768778692179
US-AL,State,AL,2019-12-15,2006-05-01,35,30.6392238962538
US-AL,State,AL,2019-12-15,2006-06-01,32,29.1957599639292
US-AL,State,AL,2019-12-15,2006-07-01,39,33.3349718334861
